hotelcode,hotelname,pricemin,pricemax
64067,NH Kloesterle Noerdlingen,65.07,134.06
64080,Hotel Savoy,100.46,210.97
64082,Hotel Camelia International,102.47,165.76
64285,The Chesterfield Mayfair Hotel,337.9,1029.52
64293,Roseate House London,181.51,372.74
64345,Ibis London Heathrow Airport Hotel,44.35,73.81
65488,Kensington Rooms,110.34,251.79
65566,Crowne Plaza Manchester Airport,100.31,205.9
65587,Holiday Inn Milton Keynes Central,105.59,121.43
65588,Holiday Inn Newcastle Gosforth Park,66.52,216.76
65601,Majestic Hotel,65.06,206.79
65614,Park Grand London Kensington,130.14,391.75
65650,Hotel Helvetique,85.39,145.67
